,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,SOS
3,Rakeem Christmas,2014-15,Syracuse,ACC,31,31,34.3,6.5,11.9,0.552,6.5,11.8,0.5529999999999999,0.0,0.0,0.0,4.4,6.2,0.7120000000000001,3.1,6.0,9.1,1.5,0.9,2.5,2.5,3.4,17.5,,7.68
0,Richaun Holmes,2012-13,Bowling Green State,MAC,32,2,18.8,2.8,4.3,0.633,2.8,4.3,0.642,0.0,0.1,0.0,1.0,1.6,0.62,2.4,2.6,5.0,0.2,0.5,2.3,0.8,2.1,6.5,,-1.75
1,Richaun Holmes,2013-14,Bowling Green State,MAC,32,31,32.0,4.7,9.3,0.507,4.3,8.0,0.539,0.4,1.3,0.3,3.5,5.0,0.706,2.7,5.0,7.7,0.9,1.1,2.8,1.8,2.8,13.3,,-0.2
2,Richaun Holmes,2014-15,Bowling Green State,MAC,31,30,28.8,5.3,9.5,0.563,4.7,8.1,0.588,0.6,1.4,0.419,3.5,4.9,0.7120000000000001,2.8,5.2,8.0,0.8,0.7,2.7,1.9,2.5,14.7,,-1.25
0,Pat Connaughton,2011-12,Notre Dame,Big East,34,18,24.1,2.5,5.9,0.423,1.3,2.4,0.5429999999999999,1.2,3.5,0.342,0.8,1.1,0.757,1.0,3.4,4.4,0.9,0.5,0.1,0.7,1.4,7.0,,6.47
1,Pat Connaughton,2012-13,Notre Dame,Big East,35,35,32.1,3.1,7.0,0.445,1.5,2.6,0.56,1.7,4.4,0.377,1.0,1.4,0.708,0.7,4.0,4.7,2.1,0.5,0.3,0.9,1.5,8.9,,7.22
2,Pat Connaughton,2013-14,Notre Dame,ACC,32,32,37.2,4.8,10.7,0.452,2.5,4.4,0.556,2.4,6.3,0.37799999999999995,1.7,2.1,0.833,1.2,5.9,7.1,3.0,1.0,0.6,1.1,1.8,13.8,,6.78
3,Pat Connaughton,2014-15,Notre Dame,ACC,38,38,35.6,4.4,9.4,0.466,1.9,3.6,0.537,2.4,5.8,0.423,1.3,1.7,0.7809999999999999,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2.0,12.5,,7.02
0,Olivier Hanlan,2012-13,Boston College,ACC,33,33,34.2,5.1,11.0,0.459,3.5,7.2,0.494,1.5,3.8,0.394,3.8,5.1,0.75,0.8,3.4,4.2,2.3,1.2,0.1,2.2,2.0,15.5,,7.03
1,Olivier Hanlan,2013-14,Boston College,ACC,32,31,36.3,5.4,12.1,0.447,3.5,6.6,0.531,1.9,5.5,0.34700000000000003,5.8,7.1,0.8109999999999999,0.4,3.1,3.4,2.9,0.8,0.1,2.4,2.6,18.5,,8.62
2,Olivier Hanlan,2014-15,Boston College,ACC,32,31,37.6,7.0,15.5,0.454,5.0,9.8,0.513,2.0,5.8,0.353,3.4,4.5,0.759,0.8,3.5,4.2,4.2,1.3,0.0,2.7,2.1,19.5,,7.94
0,Joseph Young,2011-12,Houston,CUSA,30,16,30.1,4.1,9.8,0.41600000000000004,2.2,5.0,0.45,1.8,4.8,0.382,1.4,1.6,0.8370000000000001,0.7,2.9,3.6,2.4,0.9,0.2,1.8,1.9,11.3,,0.21
1,Joseph Young,2012-13,Houston,CUSA,32,30,32.8,5.8,12.6,0.45799999999999996,3.7,7.7,0.48200000000000004,2.1,4.9,0.42,4.4,5.0,0.875,0.6,2.9,3.5,2.5,0.6,0.0,1.3,1.3,18.0,,-3.77
2,Joseph Young,2013-14,Oregon,Pac-12,34,34,31.1,6.1,12.6,0.48,3.8,7.2,0.528,2.2,5.4,0.415,4.6,5.2,0.8809999999999999,0.8,2.1,2.8,1.9,1.3,0.0,1.1,1.4,18.9,,8.05
3,Joseph Young,2014-15,Oregon,Pac-12,36,35,36.7,7.4,16.4,0.44799999999999995,4.8,9.4,0.516,2.5,7.1,0.35700000000000004,3.4,3.7,0.925,0.5,3.9,4.4,3.8,1.1,0.0,2.4,1.4,20.7,,7.65
0,Andrew Harrison,2013-14,Kentucky,SEC,40,39,31.7,3.0,8.3,0.3670000000000001,2.2,5.9,0.373,0.8,2.4,0.35100000000000003,4.0,5.2,0.764,0.8,2.4,3.2,4.0,0.5,0.2,2.7,3.0,10.9,,9.9
1,Andrew Harrison,2014-15,Kentucky,SEC,39,39,25.5,2.6,6.8,0.378,1.7,4.4,0.376,0.9,2.4,0.383,3.2,4.1,0.792,0.3,1.9,2.2,3.6,1.0,0.2,1.6,1.8,9.3,,8.67
0,Marcus Thornton,2007-08,LSU,SEC,31,30,33.6,6.8,15.7,0.436,3.9,8.0,0.494,2.9,7.7,0.377,3.0,3.7,0.8170000000000001,2.0,3.6,5.6,1.4,1.4,0.3,2.2,2.0,19.6,,5.66
1,Marcus Thornton,2008-09,LSU,SEC,35,35,31.9,7.3,15.5,0.47200000000000003,5.1,9.7,0.522,2.2,5.7,0.38799999999999996,4.3,5.7,0.745,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1,21.1,,3.27
0,Norman Powell,2011-12,UCLA,Pac-12,33,1,17.8,1.8,4.7,0.377,1.0,2.4,0.405,0.8,2.3,0.34700000000000003,0.3,0.5,0.6,0.3,2.0,2.2,1.2,0.5,0.3,0.7,1.4,4.6,,5.28
1,Norman Powell,2012-13,UCLA,Pac-12,35,9,22.1,2.3,5.2,0.434,1.5,2.6,0.578,0.8,2.6,0.293,0.8,1.1,0.675,0.1,2.1,2.2,1.1,0.7,0.5,1.1,1.9,6.1,,7.82
2,Norman Powell,2013-14,UCLA,Pac-12,37,37,25.7,4.1,7.8,0.5329999999999999,3.6,5.9,0.607,0.5,1.8,0.294,2.6,3.3,0.78,0.6,2.2,2.8,1.7,1.4,0.4,1.0,2.3,11.4,,7.62
3,Norman Powell,2014-15,UCLA,Pac-12,36,36,34.6,5.9,13.0,0.456,4.9,9.7,0.503,1.1,3.3,0.319,3.5,4.7,0.7509999999999999,0.6,4.1,4.7,2.1,1.8,0.4,2.2,2.5,16.4,,8.27
0,Dakari Johnson,2013-14,Kentucky,SEC,39,18,14.1,2.1,3.7,0.569,2.1,3.7,0.569,0.0,0.0,,1.0,2.2,0.447,2.0,1.9,3.9,0.3,0.2,0.6,0.6,2.0,5.2,,9.9
1,Dakari Johnson,2014-15,Kentucky,SEC,39,0,16.3,2.0,4.0,0.506,2.0,4.0,0.506,0.0,0.0,,2.3,3.7,0.625,1.7,2.9,4.6,0.7,0.4,0.9,1.1,1.8,6.4,,8.67
0,Aaron White,2011-12,Iowa,Big Ten,35,14,23.8,3.9,7.7,0.504,3.4,6.0,0.569,0.5,1.7,0.279,2.9,4.1,0.6990000000000001,2.1,3.6,5.7,0.9,0.9,0.7,1.4,2.1,11.1,,6.53
1,Aaron White,2012-13,Iowa,Big Ten,38,38,29.2,3.7,7.9,0.468,3.3,6.1,0.536,0.4,1.7,0.227,5.1,6.8,0.748,2.3,3.8,6.2,1.3,1.1,0.7,1.6,1.4,12.8,,6.93
2,Aaron White,2013-14,Iowa,Big Ten,33,33,28.1,4.3,7.4,0.584,4.1,6.5,0.631,0.2,0.9,0.258,3.9,4.9,0.807,1.7,5.0,6.7,1.8,1.0,0.6,1.8,1.2,12.8,,7.43
3,Aaron White,2014-15,Iowa,Big Ten,34,34,31.5,5.0,9.6,0.521,4.4,7.9,0.5579999999999999,0.6,1.7,0.35600000000000004,5.7,7.0,0.8190000000000001,2.1,5.2,7.3,1.4,1.3,0.5,1.2,1.6,16.4,,8.39
0,Tyler Harvey,2012-13,Eastern Washington,Big Sky,21,4,14.0,2.8,5.3,0.523,1.7,2.8,0.603,1.1,2.5,0.434,0.5,1.1,0.435,0.4,1.9,2.3,1.5,0.7,0.1,1.0,1.5,7.1,,-5.48
1,Tyler Harvey,2013-14,Eastern Washington,Big Sky,31,31,37.4,6.6,15.0,0.44299999999999995,3.1,6.9,0.455,3.5,8.1,0.433,5.0,5.6,0.897,0.7,3.5,4.2,2.7,1.1,0.3,2.1,2.3,21.8,,-4.15
2,Tyler Harvey,2014-15,Eastern Washington,Big Sky,32,32,36.9,7.2,15.3,0.469,3.2,6.0,0.528,4.0,9.3,0.431,4.7,5.5,0.852,0.6,3.0,3.6,2.6,1.1,0.1,2.0,1.9,23.1,,-3.84
0,Branden Dawson,2011-12,Michigan State,Big Ten,31,31,20.6,3.5,6.1,0.5770000000000001,3.5,6.0,0.586,0.0,0.1,0.0,1.3,2.2,0.594,2.2,2.3,4.5,0.9,0.9,0.8,1.4,1.3,8.4,,9.82
1,Branden Dawson,2012-13,Michigan State,Big Ten,36,35,26.9,3.9,7.3,0.531,3.9,7.1,0.541,0.0,0.1,0.0,1.2,2.2,0.5379999999999999,2.1,3.8,5.9,1.3,1.6,0.9,2.0,1.6,8.9,,10.55
2,Branden Dawson,2013-14,Michigan State,Big Ten,28,24,28.3,4.9,7.9,0.613,4.9,7.9,0.615,0.0,0.0,0.0,1.5,2.3,0.6559999999999999,3.0,5.4,8.3,1.6,1.3,0.9,1.3,1.5,11.2,,9.38
3,Branden Dawson,2014-15,Michigan State,Big Ten,35,32,30.1,5.2,9.7,0.535,5.2,9.7,0.535,0.0,0.0,,1.5,3.0,0.49,2.9,6.2,9.1,1.7,1.2,1.7,1.9,2.1,11.9,,10.0
0,J.P. Tokoto,2012-13,UNC,ACC,35,0,8.6,1.1,2.3,0.488,1.1,2.0,0.5489999999999999,0.0,0.3,0.091,0.3,0.7,0.385,0.8,0.9,1.7,0.7,0.5,0.1,0.9,0.8,2.6,,8.01
1,J.P. Tokoto,2013-14,UNC,ACC,34,33,28.7,3.8,7.8,0.489,3.6,6.7,0.531,0.2,1.1,0.222,1.4,2.9,0.5,1.9,3.9,5.8,3.1,1.6,0.5,1.9,2.7,9.3,,8.42
2,J.P. Tokoto,2014-15,UNC,ACC,38,34,29.1,3.1,7.1,0.428,2.7,6.3,0.435,0.3,0.8,0.375,1.9,3.1,0.615,1.6,4.0,5.6,4.3,1.5,0.3,2.2,2.4,8.3,,11.76
0,Willie Cauley-Stein,2012-13,Kentucky,SEC,29,14,23.6,3.6,5.8,0.621,3.6,5.8,0.621,0.0,0.0,,1.1,3.0,0.3720000000000001,2.3,3.9,6.2,0.9,0.8,2.1,1.7,2.4,8.3,,5.78
1,Willie Cauley-Stein,2013-14,Kentucky,SEC,37,18,23.8,2.9,4.8,0.596,2.9,4.8,0.596,0.0,0.0,,1.1,2.2,0.482,2.5,3.5,6.1,0.7,1.2,2.9,0.8,2.6,6.8,,9.9
2,Willie Cauley-Stein,2014-15,Kentucky,SEC,39,38,25.9,3.5,6.1,0.5720000000000001,3.5,6.1,0.5720000000000001,0.0,0.0,,2.0,3.3,0.617,2.3,4.2,6.4,1.0,1.2,1.7,1.2,2.0,8.9,,8.67
0,Stanley Johnson,2014-15,Arizona,Pac-12,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41
0,Frank Kaminsky,2011-12,Wisconsin,Big Ten,35,0,7.7,0.7,1.6,0.411,0.4,0.6,0.619,0.3,1.0,0.28600000000000003,0.2,0.4,0.5,0.6,0.8,1.4,0.3,0.1,0.4,0.3,1.0,1.8,,8.24
1,Frank Kaminsky,2012-13,Wisconsin,Big Ten,32,2,10.3,1.3,3.1,0.439,0.9,1.7,0.547,0.4,1.4,0.311,1.0,1.3,0.767,0.7,1.1,1.8,0.8,0.4,0.5,0.3,1.3,4.2,,9.73
2,Frank Kaminsky,2013-14,Wisconsin,Big Ten,38,38,27.2,5.2,9.8,0.528,4.2,7.2,0.5820000000000001,1.0,2.6,0.378,2.7,3.5,0.765,2.1,4.2,6.3,1.3,0.7,1.7,1.0,2.5,13.9,,10.19
3,Frank Kaminsky,2014-15,Wisconsin,Big Ten,39,39,33.6,6.8,12.5,0.547,5.8,9.9,0.581,1.1,2.6,0.416,4.0,5.1,0.78,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,,10.29
0,Taurean Prince,2012-13,Baylor,Big 12,24,0,6.4,1.5,2.5,0.583,1.4,2.3,0.611,0.1,0.3,0.33299999999999996,0.7,0.9,0.727,0.9,1.3,2.2,0.1,0.4,0.1,0.5,1.5,3.7,,7.13
1,Taurean Prince,2013-14,Baylor,Big 12,38,2,14.3,2.1,4.5,0.465,1.7,3.4,0.496,0.4,1.1,0.366,1.6,2.3,0.7090000000000001,1.1,1.7,2.8,0.6,0.5,0.2,1.3,2.1,6.2,,10.11
2,Taurean Prince,2014-15,Baylor,Big 12,33,6,26.3,5.1,10.7,0.47200000000000003,3.2,6.1,0.53,1.8,4.6,0.395,2.0,3.1,0.644,1.8,3.8,5.6,1.3,1.5,0.9,2.0,2.1,13.9,,9.33
3,Taurean Prince,2015-16,Baylor,Big 12,34,34,30.6,5.5,12.7,0.4320000000000001,3.9,8.4,0.469,1.6,4.3,0.361,3.3,4.3,0.774,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5,15.9,,9.76
0,Denzel Valentine,2012-13,Michigan State,Big Ten,36,15,20.8,1.9,4.3,0.445,1.5,2.7,0.541,0.4,1.6,0.281,0.7,1.1,0.667,1.1,3.1,4.1,2.4,0.8,0.3,2.0,1.9,5.0,,10.55
1,Denzel Valentine,2013-14,Michigan State,Big Ten,38,32,29.4,2.8,7.0,0.408,1.7,4.0,0.43,1.1,3.0,0.377,1.2,1.7,0.677,1.2,4.8,6.0,3.8,1.0,0.3,1.8,2.6,8.0,,9.38
2,Denzel Valentine,2014-15,Michigan State,Big Ten,39,39,33.2,5.1,11.4,0.443,2.4,5.1,0.475,2.6,6.3,0.416,1.8,2.2,0.826,1.2,5.1,6.3,4.3,0.9,0.2,2.4,2.2,14.5,,10.0
3,Denzel Valentine,2015-16,Michigan State,Big Ten,31,30,33.0,6.6,14.3,0.462,3.3,6.8,0.481,3.4,7.5,0.444,2.6,3.1,0.853,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7,19.2,,6.94
0,Justin Jackson,2014-15,UNC,ACC,38,37,26.7,4.1,8.7,0.47700000000000004,3.4,6.2,0.544,0.7,2.4,0.304,1.7,2.4,0.71,1.4,2.3,3.7,2.3,0.5,0.5,1.4,1.4,10.7,,11.76
1,Justin Jackson,2015-16,UNC,ACC,40,38,28.4,4.9,10.4,0.466,4.0,7.4,0.537,0.9,3.0,0.292,1.6,2.4,0.667,1.8,2.1,3.9,2.8,0.6,0.4,1.1,1.7,12.2,,10.69
2,Justin Jackson,2016-17,UNC,ACC,40,39,32.0,6.6,14.9,0.44299999999999995,4.0,7.8,0.51,2.6,7.1,0.37,2.5,3.3,0.748,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3,,11.76
0,Wade Baldwin,2014-15,Vanderbilt,SEC,35,24,28.8,2.8,6.5,0.436,1.6,3.7,0.434,1.2,2.8,0.439,2.4,3.0,0.802,0.5,3.7,4.1,4.4,1.4,0.1,1.9,2.5,9.3,,6.22
1,Wade Baldwin,2015-16,Vanderbilt,SEC,33,30,30.4,4.1,9.6,0.4270000000000001,2.8,6.5,0.4370000000000001,1.2,3.1,0.406,4.7,5.9,0.799,0.4,3.6,4.0,5.2,1.2,0.3,2.8,2.6,14.1,,8.68
0,Henry Ellenson,2015-16,Marquette,Big East,33,33,33.5,5.9,13.2,0.446,5.0,10.0,0.495,0.9,3.2,0.28800000000000003,4.3,5.8,0.7490000000000001,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.0,,5.57
0,Malik Beasley,2015-16,Florida State,ACC,34,33,29.8,5.4,11.6,0.471,3.8,7.4,0.518,1.6,4.2,0.387,3.1,3.8,0.813,1.3,4.0,5.3,1.5,0.9,0.2,1.7,2.2,15.6,,8.16
0,Caris LeVert,2012-13,Michigan,Big Ten,33,1,10.7,0.8,2.7,0.315,0.5,1.4,0.326,0.4,1.3,0.302,0.2,0.4,0.5,0.2,0.9,1.1,0.8,0.2,0.1,0.3,1.2,2.3,,10.05
1,Caris LeVert,2013-14,Michigan,Big Ten,37,37,34.0,4.4,10.0,0.439,2.8,6.1,0.46,1.6,4.0,0.408,2.5,3.2,0.767,0.5,3.8,4.3,2.9,1.2,0.3,1.7,1.7,12.9,,9.65
2,Caris LeVert,2014-15,Michigan,Big Ten,18,18,35.8,5.2,12.3,0.42100000000000004,3.4,7.9,0.43,1.8,4.4,0.405,2.8,3.5,0.81,0.3,4.6,4.9,3.7,1.8,0.4,2.2,1.7,14.9,,9.59
3,Caris LeVert,2015-16,Michigan,Big Ten,15,14,30.9,5.5,10.8,0.506,3.5,6.5,0.546,1.9,4.3,0.446,3.6,4.5,0.794,0.6,4.7,5.3,4.9,1.0,0.2,1.7,1.2,16.5,,7.92
0,DeAndre Bembry,2013-14,St. Joseph's,A-10,34,34,32.6,4.2,9.2,0.458,3.1,6.1,0.514,1.1,3.1,0.34600000000000003,2.7,4.6,0.583,1.1,3.4,4.5,2.7,0.9,0.6,2.5,2.6,12.1,,5.08
1,DeAndre Bembry,2014-15,St. Joseph's,A-10,31,31,38.6,6.4,14.9,0.4320000000000001,4.8,9.9,0.484,1.6,4.9,0.327,3.3,5.2,0.638,1.6,6.2,7.7,3.6,1.9,0.9,2.9,2.4,17.7,,2.58
2,DeAndre Bembry,2015-16,St. Joseph's,A-10,36,35,37.3,6.6,13.8,0.479,5.7,10.3,0.5529999999999999,0.9,3.6,0.266,3.3,4.9,0.657,1.4,6.3,7.8,4.5,1.4,0.8,2.0,2.4,17.4,,4.93
0,Malachi Richardson,2015-16,Syracuse,ACC,37,37,34.4,4.1,11.1,0.369,2.0,5.1,0.38799999999999996,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,,9.75
0,Brice Johnson,2012-13,UNC,ACC,36,2,10.6,2.5,4.9,0.511,2.5,4.9,0.511,0.0,0.0,,0.4,0.7,0.5770000000000001,0.9,2.3,3.2,0.3,0.5,0.5,0.5,1.6,5.4,,8.01
1,Brice Johnson,2013-14,UNC,ACC,34,2,19.4,4.4,7.8,0.5660000000000001,4.4,7.8,0.5660000000000001,0.0,0.0,,1.5,2.4,0.622,2.3,3.9,6.1,0.9,0.7,1.3,1.2,2.8,10.3,,8.42
2,Brice Johnson,2014-15,UNC,ACC,38,37,24.7,5.4,9.6,0.5660000000000001,5.4,9.6,0.5660000000000001,0.0,0.0,,2.1,3.0,0.6779999999999999,2.3,5.4,7.8,0.9,0.7,1.1,1.5,2.9,12.9,,11.76
3,Brice Johnson,2015-16,UNC,ACC,40,39,28.0,6.7,10.9,0.614,6.7,10.9,0.614,0.0,0.0,,3.6,4.6,0.7829999999999999,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,17.0,,10.69
0,Caleb Swanigan,2015-16,Purdue,Big Ten,34,34,25.7,3.8,8.3,0.461,3.2,6.2,0.519,0.6,2.1,0.292,2.0,2.8,0.713,1.6,6.7,8.3,1.8,0.4,0.2,2.6,2.2,10.2,,7.46
1,Caleb Swanigan,2016-17,Purdue,Big Ten,35,35,32.5,6.3,12.0,0.527,5.3,9.6,0.5479999999999999,1.1,2.4,0.447,4.7,6.0,0.7809999999999999,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,,8.79
0,Pascal Siakam,2014-15,New Mexico State,WAC,34,27,30.8,4.9,8.5,0.5720000000000001,4.9,8.5,0.5760000000000001,0.0,0.1,0.0,3.1,4.0,0.759,3.3,4.4,7.7,1.3,0.8,1.8,1.9,2.6,12.8,,-3.67
1,Pascal Siakam,2015-16,New Mexico State,WAC,34,34,34.6,8.1,15.0,0.539,8.0,14.6,0.5489999999999999,0.1,0.4,0.2,4.0,5.9,0.6779999999999999,3.9,7.7,11.6,1.7,1.0,2.2,2.0,2.7,20.3,,-3.54
0,Skal Labissiere,2015-16,Kentucky,SEC,36,18,15.8,2.7,5.3,0.516,2.7,5.2,0.521,0.0,0.1,0.0,1.1,1.7,0.6609999999999999,1.0,2.2,3.1,0.3,0.3,1.6,0.9,3.0,6.6,,8.84
0,Jaylen Brown,2015-16,California,Pac-12,34,34,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3.0,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,,7.87
0,Damian Jones,2013-14,Vanderbilt,SEC,31,28,25.7,4.5,8.2,0.5429999999999999,4.5,8.2,0.5429999999999999,0.0,0.0,,2.4,4.3,0.545,1.8,3.8,5.7,0.2,0.3,1.4,1.8,3.4,11.3,,6.49
1,Damian Jones,2014-15,Vanderbilt,SEC,35,34,29.1,5.3,9.5,0.562,5.3,9.3,0.5670000000000001,0.0,0.1,0.2,3.8,6.3,0.599,2.2,4.3,6.5,0.7,0.6,2.0,2.2,2.5,14.5,,6.22
2,Damian Jones,2015-16,Vanderbilt,SEC,33,33,26.2,5.6,9.5,0.59,5.6,9.4,0.595,0.0,0.1,0.0,2.7,5.1,0.536,2.2,4.6,6.9,1.2,0.2,1.6,2.0,3.3,13.9,,8.68
0,Josh Hart,2013-14,Villanova,Big East,34,1,21.4,2.6,5.1,0.5,1.8,2.7,0.67,0.8,2.4,0.313,1.9,2.8,0.677,1.8,2.6,4.4,0.9,0.6,0.3,0.6,2.4,7.8,,7.5
1,Josh Hart,2014-15,Villanova,Big East,36,2,25.5,3.4,6.7,0.515,2.0,3.6,0.5579999999999999,1.4,3.1,0.464,1.8,2.7,0.67,1.8,2.7,4.5,1.5,1.1,0.4,1.1,2.1,10.1,,7.55
2,Josh Hart,2015-16,Villanova,Big East,40,39,31.4,5.8,11.2,0.513,4.4,7.4,0.595,1.4,3.9,0.35700000000000004,2.6,3.4,0.752,1.9,4.9,6.8,1.9,1.2,0.3,1.7,2.2,15.5,,9.71
3,Josh Hart,2016-17,Villanova,Big East,36,35,33.1,6.6,12.9,0.51,4.5,7.8,0.579,2.1,5.1,0.404,3.5,4.7,0.747,1.4,5.0,6.4,2.9,1.6,0.3,2.0,2.3,18.7,,9.28
0,Deyonta Davis,2015-16,Michigan State,Big Ten,35,16,18.6,3.4,5.7,0.598,3.4,5.7,0.598,0.0,0.0,,0.7,1.1,0.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,,6.94
0,Cheick Diallo,2015-16,Kansas,Big 12,27,1,7.5,1.2,2.1,0.569,1.2,2.1,0.569,0.0,0.0,,0.6,1.0,0.556,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0,,11.22
0,Tyler Ulis,2014-15,Kentucky,SEC,37,0,23.8,1.8,4.5,0.406,0.9,2.4,0.386,0.9,2.1,0.429,1.1,1.4,0.8079999999999999,0.4,1.4,1.8,3.6,1.0,0.1,1.0,1.5,5.6,,8.67
1,Tyler Ulis,2015-16,Kentucky,SEC,35,35,36.8,5.5,12.6,0.434,3.9,8.1,0.486,1.6,4.6,0.344,4.8,5.6,0.856,0.5,2.5,3.0,7.0,1.5,0.1,2.0,1.8,17.3,,8.84
0,Malcolm Brogdon,2011-12,Virginia,ACC,28,1,22.4,2.3,5.7,0.396,1.5,3.3,0.451,0.8,2.4,0.324,1.4,1.8,0.8,0.5,2.3,2.8,1.4,0.5,0.1,1.6,1.4,6.7,,4.23
1,Malcolm Brogdon,2013-14,Virginia,ACC,37,37,31.4,4.1,9.8,0.413,2.9,6.6,0.434,1.2,3.2,0.37,3.4,3.9,0.875,0.9,4.5,5.4,2.7,1.2,0.1,1.4,1.9,12.7,,7.86
2,Malcolm Brogdon,2014-15,Virginia,ACC,34,34,32.5,4.6,11.0,0.422,3.4,7.2,0.463,1.3,3.8,0.344,3.4,3.9,0.879,0.5,3.5,3.9,2.4,0.7,0.4,1.7,1.9,14.0,,7.81
3,Malcolm Brogdon,2015-16,Virginia,ACC,37,37,34.1,6.2,13.6,0.457,4.2,8.4,0.498,2.0,5.2,0.391,3.8,4.2,0.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,,11.12
0,Chinanu Onuaku,2014-15,Louisville,ACC,35,26,17.8,1.3,2.1,0.616,1.3,2.1,0.616,0.0,0.0,,0.4,0.9,0.467,2.0,2.6,4.6,0.5,0.7,1.2,1.3,2.4,3.0,,8.98
1,Chinanu Onuaku,2015-16,Louisville,ACC,31,29,24.6,4.4,7.1,0.62,4.4,7.1,0.623,0.0,0.0,0.0,1.1,1.8,0.589,2.9,5.5,8.5,1.6,0.8,2.0,2.1,3.0,9.9,,7.74
0,Patrick McCaw,2014-15,UNLV,MWC,32,16,29.6,3.3,8.2,0.402,1.5,3.3,0.453,1.8,4.8,0.368,1.3,1.8,0.7140000000000001,0.7,2.5,3.3,2.7,1.5,0.3,1.8,1.5,9.6,,3.38
1,Patrick McCaw,2015-16,UNLV,MWC,33,32,33.7,5.1,10.9,0.465,3.0,5.3,0.5710000000000001,2.1,5.6,0.366,2.5,3.2,0.774,1.2,4.0,5.1,3.9,2.5,0.4,2.1,2.2,14.7,,3.17
0,Diamond Stone,2015-16,Maryland,Big Ten,35,22,23.1,4.8,8.4,0.568,4.8,8.4,0.568,0.0,0.0,,2.9,3.8,0.7609999999999999,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,,8.31
0,Stephen Zimmerman,2015-16,UNLV,MWC,26,24,26.2,3.9,8.2,0.477,3.7,7.6,0.4920000000000001,0.2,0.7,0.294,2.4,3.9,0.624,2.2,6.6,8.7,0.8,0.5,2.0,2.1,3.0,10.5,,3.17
0,Isaiah Whitehead,2014-15,Seton Hall,Big East,22,19,27.8,4.1,11.3,0.3670000000000001,2.5,6.5,0.382,1.6,4.7,0.34600000000000003,2.1,2.9,0.746,1.0,2.9,3.9,3.5,1.4,0.6,3.3,2.4,12.0,,7.56
1,Isaiah Whitehead,2015-16,Seton Hall,Big East,34,33,32.3,5.7,15.1,0.379,3.3,8.5,0.39,2.4,6.5,0.365,4.4,5.8,0.76,0.5,3.1,3.6,5.1,1.2,1.4,3.5,2.3,18.2,,8.28
0,Demetrius Jackson,2013-14,Notre Dame,ACC,30,15,22.2,1.8,4.4,0.42,1.0,2.4,0.423,0.8,2.0,0.417,1.5,2.0,0.78,0.5,1.6,2.1,1.8,0.4,0.0,1.2,1.9,6.0,,6.78
1,Demetrius Jackson,2014-15,Notre Dame,ACC,38,38,34.7,4.4,8.7,0.508,3.0,5.3,0.557,1.4,3.3,0.429,2.2,2.9,0.745,1.2,2.4,3.6,3.1,1.6,0.3,1.5,1.9,12.4,,7.02
2,Demetrius Jackson,2015-16,Notre Dame,ACC,35,35,36.0,5.5,12.2,0.451,4.0,7.6,0.525,1.5,4.7,0.331,3.2,4.0,0.813,0.9,2.6,3.5,4.7,1.2,0.3,2.2,1.9,15.8,,9.57
0,Jake Layman,2012-13,Maryland,ACC,38,17,19.9,1.9,4.9,0.396,1.0,1.8,0.557,0.9,3.1,0.299,0.7,0.9,0.6940000000000001,0.9,2.3,3.2,0.9,0.6,0.6,1.0,1.6,5.5,,4.66
1,Jake Layman,2013-14,Maryland,ACC,32,28,31.8,3.9,9.8,0.401,2.0,4.5,0.441,1.9,5.2,0.365,2.0,2.8,0.7190000000000001,1.3,3.7,5.0,0.9,1.1,0.8,1.2,2.1,11.7,,8.08
2,Jake Layman,2014-15,Maryland,Big Ten,35,34,30.1,4.1,8.7,0.47,2.8,5.3,0.53,1.3,3.4,0.37799999999999995,3.0,4.0,0.752,1.3,4.5,5.8,1.4,0.8,0.7,1.9,2.1,12.5,,7.63
