,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,SOS
2,Alec Brown,2012-13,Green Bay,Horizon,34,34,30.6,5.0,11.1,0.449,4.1,9.1,0.45299999999999996,0.9,2.1,0.429,3.2,4.3,0.747,2.0,4.0,6.0,1.2,0.6,1.7,2.6,2.9,14.1,,-0.27
3,Alec Brown,2013-14,Green Bay,Horizon,30,30,30.3,5.5,11.6,0.47600000000000003,4.1,8.2,0.498,1.4,3.3,0.42,2.9,4.0,0.727,2.1,3.6,5.7,1.0,0.5,3.1,2.2,2.2,15.3,,0.11
0,Semaj Christon,2012-13,Xavier,A-10,30,29,34.2,5.4,12.2,0.444,5.2,11.2,0.46,0.2,0.9,0.25,4.2,6.2,0.672,0.2,2.7,2.9,4.6,1.5,0.1,3.6,2.7,15.2,,4.96
1,Semaj Christon,2013-14,Xavier,Big East,34,34,35.3,5.9,12.4,0.479,5.4,10.9,0.491,0.6,1.4,0.388,4.6,6.9,0.6679999999999999,0.4,2.2,2.7,4.2,1.3,0.2,2.6,2.1,17.0,,8.14
0,Devyn Marble,2010-11,Iowa,Big Ten,31,6,19.1,2.1,5.6,0.379,1.8,4.3,0.414,0.4,1.3,0.268,1.1,2.1,0.53,0.6,1.8,2.4,1.3,0.7,0.1,1.1,1.3,5.7,,8.79
1,Devyn Marble,2011-12,Iowa,Big Ten,35,27,29.5,4.0,9.1,0.436,3.3,7.5,0.445,0.6,1.6,0.39299999999999996,2.9,4.0,0.723,1.1,2.7,3.8,3.6,1.5,0.4,1.7,1.6,11.5,,6.53
2,Devyn Marble,2012-13,Iowa,Big Ten,37,37,30.5,4.8,11.6,0.409,3.4,7.6,0.45399999999999996,1.3,4.1,0.327,4.1,5.1,0.81,0.9,3.1,4.0,3.0,1.1,0.3,2.2,1.4,15.0,,6.93
3,Devyn Marble,2013-14,Iowa,Big Ten,33,33,30.2,5.5,13.2,0.42,4.0,8.7,0.456,1.6,4.5,0.349,4.3,6.0,0.7140000000000001,0.8,2.4,3.2,3.6,1.8,0.2,1.7,1.9,17.0,,7.43
0,Jordan McRae,2010-11,Tennessee,SEC,10,0,5.3,0.6,1.9,0.316,0.5,1.0,0.5,0.1,0.9,0.111,0.5,1.1,0.455,0.2,0.6,0.8,0.0,0.2,0.4,0.5,0.5,1.8,,8.73
1,Jordan McRae,2011-12,Tennessee,SEC,34,15,21.7,2.9,7.6,0.377,1.7,4.1,0.42,1.1,3.5,0.328,1.8,2.3,0.759,0.5,2.4,2.9,1.5,0.6,0.8,1.5,1.7,8.6,,6.58
2,Jordan McRae,2012-13,Tennessee,SEC,33,22,33.5,5.2,12.2,0.423,3.3,7.1,0.472,1.8,5.1,0.355,3.6,4.6,0.7709999999999999,0.9,3.2,4.1,2.0,0.8,0.9,2.8,2.3,15.7,,6.03
3,Jordan McRae,2013-14,Tennessee,SEC,37,37,32.2,6.0,13.8,0.436,3.9,7.8,0.502,2.1,6.1,0.35100000000000003,4.5,5.7,0.7879999999999999,0.7,2.8,3.5,2.5,0.7,1.0,2.1,2.1,18.7,,7.84
0,Xavier Thames,2009-10,Washington State,Pac-10,31,4,17.6,1.7,4.2,0.41200000000000003,1.5,3.1,0.46399999999999997,0.3,1.1,0.265,0.8,1.3,0.6409999999999999,0.4,1.0,1.5,1.2,0.8,0.0,0.9,1.9,4.6,,4.65
1,Xavier Thames,2011-12,San Diego State,MWC,31,30,33.8,3.2,7.9,0.402,2.6,6.2,0.4270000000000001,0.5,1.7,0.308,3.3,3.9,0.828,0.5,2.7,3.2,4.1,1.0,0.2,2.5,2.2,10.1,,3.79
2,Xavier Thames,2012-13,San Diego State,MWC,30,25,28.7,2.9,8.3,0.35100000000000003,1.7,4.8,0.34700000000000003,1.2,3.5,0.35600000000000004,2.5,3.1,0.815,0.5,2.2,2.7,2.4,1.0,0.3,1.8,1.4,9.5,,6.19
3,Xavier Thames,2013-14,San Diego State,MWC,36,36,31.3,5.2,12.7,0.41100000000000003,3.5,8.2,0.4320000000000001,1.7,4.5,0.374,5.4,6.5,0.8340000000000001,0.6,2.3,2.9,3.2,1.6,0.1,1.4,2.0,17.6,,4.86
0,Marcus Smart,2012-13,Oklahoma State,Big 12,33,32,33.5,4.6,11.3,0.404,3.4,7.4,0.465,1.2,4.0,0.29,5.1,6.5,0.777,1.5,4.3,5.8,4.2,3.0,0.7,3.4,2.8,15.4,,6.73
1,Marcus Smart,2013-14,Oklahoma State,Big 12,31,31,32.7,5.3,12.5,0.422,3.7,7.2,0.514,1.6,5.3,0.299,5.9,8.1,0.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9,18.0,,8.34
0,Cory Jefferson,2009-10,Baylor,Big 12,21,0,4.6,0.4,1.1,0.391,0.4,1.0,0.409,0.0,0.0,0.0,0.4,0.6,0.6920000000000001,0.6,0.6,1.2,0.0,0.1,0.2,0.2,0.6,1.3,,8.03
1,Cory Jefferson,2011-12,Baylor,Big 12,34,1,10.5,1.4,2.6,0.522,1.4,2.6,0.534,0.0,0.1,0.0,0.8,1.3,0.6,0.7,1.9,2.6,0.1,0.2,1.2,0.4,1.3,3.6,,8.03
2,Cory Jefferson,2012-13,Baylor,Big 12,37,37,27.9,5.2,8.5,0.61,5.1,8.2,0.618,0.1,0.2,0.33299999999999996,2.9,4.1,0.7040000000000001,2.7,5.3,8.0,0.3,0.5,1.9,0.8,2.3,13.3,,7.13
3,Cory Jefferson,2013-14,Baylor,Big 12,38,38,29.0,4.8,9.7,0.5,4.5,8.7,0.515,0.4,1.0,0.368,3.6,5.6,0.64,2.8,5.4,8.2,1.0,0.4,1.3,1.3,2.2,13.7,,10.11
0,Julius Randle,2013-14,Kentucky,SEC,40,40,30.8,4.9,9.8,0.501,4.8,9.3,0.517,0.1,0.5,0.16699999999999998,5.1,7.2,0.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0,,9.9
0,Nik Stauskas,2012-13,Michigan,Big Ten,39,33,30.5,3.5,7.6,0.46299999999999997,1.5,3.0,0.5,2.1,4.7,0.44,1.9,2.2,0.851,0.5,2.5,3.0,1.3,0.6,0.2,1.1,0.7,11.0,,10.05
1,Nik Stauskas,2013-14,Michigan,Big Ten,36,36,35.6,5.1,10.9,0.47,2.6,5.2,0.5,2.6,5.8,0.442,4.7,5.7,0.8240000000000001,0.4,2.5,2.9,3.3,0.6,0.3,1.9,1.3,17.5,,9.65
0,Noah Vonleh,2013-14,Indiana,Big Ten,30,29,26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7,11.3,,6.64
0,Justise Winslow,2014-15,Duke,ACC,39,39,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4.0,0.6409999999999999,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,,9.87
0,Myles Turner,2014-15,Texas,Big 12,34,7,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.8390000000000001,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,,9.07
0,Trey Lyles,2014-15,Kentucky,SEC,36,21,23.0,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,,8.67
0,Devin Booker,2009-10,Clemson,ACC,32,1,11.6,1.9,3.3,0.561,1.9,3.3,0.5660000000000001,0.0,0.0,0.0,0.8,1.4,0.5329999999999999,1.1,1.8,2.9,0.3,0.4,0.1,0.9,1.3,4.5,,7.9
